youtube_id,time_start,time_end,split
Ptf_2VRj-V0,000122,000132,train
CBL6uetTPHg,000089,000099,train
BiKRPPjAzvw,000017,000027,train
GwlcmI36imo,000127,000137,train
yCKjqYxQn0E,000261,000271,train
9eTXpQq9QTA,000126,000136,train
qqJisE6m6XI,000000,000010,train
bd6eUL9prjI,000102,000112,train
6IbvOJxXnOo,000047,000057,train
f2uK1SvWf5A,000005,000015,train
Ww61iwaFGrM,000059,000069,train
XaH22IFN81Y,000056,000066,train
y3-3i88mNPc,000008,000018,train
rseBvhN6dio,000003,000013,train
Zv09PB3YQAs,000010,000020,train
C0VVxIhDp9Q,000021,000031,train
0wR5jVB-WPk,000417,000427,train
6_4kjPiQr7w,000191,000201,train
O179fpfn1G4,000040,000050,train
hXtsZAaZ3yc,000044,000054,train
gGGlthnIB-4,000036,000046,train
IyNBDKyORFs,000243,000253,train
3yaoNwz99xM,000062,000072,train
p1VKQa4N-hg,000000,000010,train
yq_M1PMw2hY,000038,000048,train
__NrybzYzUg,000415,000425,train
YHCT_kezpfk,000063,000073,train
oMjg09l2zs0,000676,000686,train
e1fZt2rk89s,000016,000026,train
VHJGX13S_UY,000554,000564,train
eHkBHH59-Js,000115,000125,train
z9vSfUWX4pI,000052,000062,train
7pRfb0t34uo,000158,000168,train
ASFOR-PFsiM,000040,000050,train
BJ8ZBTYXyAE,000076,000086,train
YqTT34PsD5c,000003,000013,train
bjtnAh_wz1c,000002,000012,train
UFRaLM26S24,000016,000026,train
YgzCJmncmUA,000027,000037,train
bFdTLPL8TTM,000169,000179,train
_aQSjArgAqA,000123,000133,train
EDgbHrT9H0U,000065,000075,train
eA6KqKuVj-I,000022,000032,train
xjhF2VEkh0E,000210,000220,train
_Wp_B81Cmrk,000027,000037,train
SIsUKup2CqA,000059,000069,train
dyPLsNVxKVE,000026,000036,train
MDnmHCi1MVc,000023,000033,train
yZEECZMPoDc,000130,000140,train
UqdItDfdm4s,000018,000028,train
4CU7O9qPBd0,000180,000190,train
6XqpNzte3EU,000219,000229,train
lJt4kfs38mE,000000,000010,train
CYPOWMwa4EE,000238,000248,train
M_jaJM5cs14,000116,000126,train
dJ7grQeSC9k,000114,000124,train
fUlV0drHowo,000164,000174,train
PEP-h_OgDXk,000004,000014,train
lKWJ_gP9ZnQ,000116,000126,train
L9GxK3fD-1w,000056,000066,train
x7IRJ7cUJYk,000038,000048,train
DnPRSNeH3k8,000100,000110,train
iBdfz_9edSc,000044,000054,train
faAW6af4WGw,000022,000032,train
YDEG_KkvIXE,000327,000337,train
JeIm0Rjtu14,000012,000022,train
ddt6uPX6MMQ,000341,000351,train
O6guWwjne3I,000008,000018,train
AfdJ-SHkwj4,001143,001153,train
hyUVnZ_QxLg,000008,000018,train
4E53JZXxxhU,000094,000104,train
ZHPY-6iIQJE,000014,000024,train
4CwHE76iJGI,000244,000254,train
-u8W9n8IOks,000011,000021,train
LpRkHRkecfw,000242,000252,train
SfPRXIfTj7Q,000026,000036,train
BR0RHXGuEas,000243,000253,train
qRrwCdKTW5Q,000054,000064,train
23-Ar-CI1tE,000098,000108,train
CFXqyl4C1J4,000238,000248,train
bTFU66G2GH8,000047,000057,train
1k9qcUaw_ZY,000083,000093,train
3u6rHLeBYuo,000075,000085,train
7F5BwlMrreM,004315,004325,train
L79brMj9E_A,000015,000025,train
Q028jHG_KbY,000218,000228,train
tmnesMYCPfo,000011,000021,train
ENPlJ4NwYQE,000439,000449,train
VjRyYWbzGV0,000004,000014,train
B7s0cI9-x7M,000016,000026,train
wOr0bn6w9ik,000038,000048,train
vkl9Rfq9adw,000022,000032,train
XrzsgvTECL8,000031,000041,train
Pb-uJ_wSK_0,000037,000047,train
-5ZUl3Z5yW0,000000,000010,train
uCjGNUPO0WU,000328,000338,train
YEHF2e1poiU,000026,000036,train
9ThZWOjTpyY,000006,000016,train
T04pbbEqvKg,000037,000047,train
LUDNNpRn7aQ,000089,000099,train
KEGqZ8mTsdk,000007,000017,train
8CEtNUot1ZU,000040,000050,train
xJFL9JB9Y9k,000207,000217,train
3--MxURLDzM,000007,000017,train
I0uzBT4UVes,000455,000465,train
4ydGiWZSiY0,000021,000031,train
kMKS2QpFTVI,000001,000011,train
ZLn66q_wDng,000334,000344,train
x7UNSUrkxvA,000276,000286,train
h-czC4mWhVA,000005,000015,train
bfKpVMzFqHU,000140,000150,train
FicRIbe_GN4,000007,000017,train
hNbp9IL57hI,000029,000039,train
63Ql_8ihNTI,000025,000035,train
3fsgvP4-Hgw,000344,000354,train
sH7OHdpqUYU,000002,000012,train
eW_lzn0nBj0,000031,000041,train
Ox2S_AfUBaA,000021,000031,train
W7CaokEWXYo,000059,000069,train
Hj2j91vS0RI,000018,000028,train
Ey8G8lMd33c,000266,000276,train
QynQon4trm0,000218,000228,train
GcLumVOPVEQ,000545,000555,train
